referencia,Nombre_Producto,Existencia_MED,Transito,Reservas,Existencia_BOG,Total_Inv,Disponibilidad
01-C4-EBD2H-WH,(UND) ENGRAVED BUTTON DECORA DOBLE            ,1,0,90,0,1,-89
01-C4-EBD3H-BR,(UND) ENGRAVED BUTTON DECORA TRIPLE BR        ,0,0,0,0,0,0
01-C4-EBD3H-MB,(UND) ENGRAVED BUTTON DECORA TRPLE MB   ,0,0,0,0,0,0
01-C4-EBD3H-WH,(UND) ENGRAVED BUTTON DECORA TRIPLE WHITE     ,0,0,0,0,0,0
01-C4-EBDR-AU,(UND) ENGRAVED BUTTON DECORA ROCKER AU        ,0,0,0,0,0,0
01-C4-EBDR-BL,(UND) ENGRAVED BUTTON DECORA ROCKER BL        ,0,0,0,0,0,0
01-C4-EBDR-BR,(UND) ENGRAVED BUTTON DECORA ROCKER BR        ,0,0,0,0,0,0
01-C4-EBDR-LA,(UND) ENGRAVED BUTTON DECORA ROCKER LA        ,0,0,0,0,0,0
01-C4-EBDR-MB,(UND) ENGRAVED BUTTON DECORA ROCKER MB        ,0,0,0,0,0,0
01-C4-EBDR-SW,(UND) ENGRAVED BUTTON DECORA ROCKER SW        ,4,0,0,0,4,4
01-C4-EBDR-WH,(UND) ENGRAVED BUTTON DECORA ROCKER           ,0,0,0,0,0,0
01-C4-FP1-AU,(UND) FACEPLATE ONE-GANG ALUMINUM       ,76,0,0,10,86,86
01-C4-FP1-BI,(UND) FACEPLATE ONE-GANG BISCUIT,1,0,0,0,1,1
01-C4-FP1-BL,(UND) FACEPLATE ONE-GANG BLACK          ,1,6,0,0,1,1
01-C4-FP1-BR,(UND) FACEPLATE ONE-GANG BROWN          ,4,0,0,0,4,4
01-C4-FP1-IV,(UND) FACEPLATE ONE-GANG IVORY          ,0,0,0,0,0,0
01-C4-FP1-LA,(UND) FACEPLATE ONE-GANG LIGHT ALMOND,0,0,0,0,0,0
01-C4-FP1-MB,(UND) FACEPLATE ONE-GANG MIDNIGHT BLACK ,6,46,35,0,6,-29
01-C4-FP1-MS,(UND) FACEPLATE ONE-GANG MATTE STEEL    ,2,0,0,0,2,2
01-C4-FP1-SN,(UND) FACEPLATE ONE-GANG SATIN NICKEL,0,0,0,0,0,0
01-C4-FP1-SS,(UND) FACEPLATE ONE-GANG STAINLESS STEEL      ,0,0,0,0,0,0
